x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7
-0.79356,0.4287,-0.22363,-0.60048,0.04336,0.06412,-1.06017,-0.31099,-0.2238,-0.15926,0.13958,-0.60844,-0.07162,-1.39291,-0.0655,-0.44424,0.67748,0.93572,-0.5621,0.2865,1.1391
-0.69383,0.46901,-0.32024,-0.53013,0.14235,-0.84823,-1.01965,-0.2045,-0.11975,-0.15445,0.07101,-0.58336,-0.05464,-1.45984,-0.06546,-0.44249,0.59211,0.87548,-0.52866,0.36544,1.09943
-0.68916,-0.02845,-0.17056,-0.51483,-0.05526,-0.85064,-0.65932,0.14831,0.08003,-0.14823,-0.81759,-0.19893,0.00801,-1.41559,-0.05388,-0.37996,0.15997,1.05772,-0.48787,0.37572,1.18372
-0.68081,0.03908,-0.24511,-0.34244,-0.22003,-0.81715,-0.60253,-0.0071,0.11021,-0.14346,-0.76674,-0.18205,0.01492,-1.42043,0.07443,-0.34804,0.09975,1.0571,-0.44262,0.53006,0.89154
-0.6436,0.408,-0.08901,-0.32809,0.16907,-1.03795,-0.54493,-0.02309,0.12725,0.26271,-0.36172,-0.17446,0.0152,-1.43287,-0.05412,-0.31925,0.00777,0.68855,-0.31604,0.26668,1.28581
-0.63938,-0.00043,0.04667,-0.29931,-0.0084,-0.98358,-0.52293,-0.11029,0.10783,0.30524,-0.37618,-0.25297,0.01925,-1.41765,0.03631,-0.31262,-0.01927,0.66035,-0.30884,0.74753,1.07388
-0.63937,0.05366,0.07511,-0.24906,-0.32741,-0.69361,-0.42331,0.12276,0.05481,0.56711,-0.26811,-0.03648,0.03454,-1.41426,-0.08553,-0.29229,0.37081,0.81015,-0.01754,0.30685,0.91847
-0.55746,0.32868,-0.13138,-0.22629,0.13088,-0.96202,-0.41519,-0.12627,-0.00463,0.57196,-0.26187,-0.55324,0.04842,-1.35557,-0.06083,-0.21022,0.18409,0.766,0.01046,0.42053,0.89575
-0.55333,0.23189,-0.20765,-0.2131,-0.07057,-1.24339,-0.39929,-0.16235,-0.00351,0.63838,0.38374,-0.87834,0.04895,-1.35371,-0.02443,-0.17967,0.23418,0.76721,0.03112,0.89133,0.34332
-0.54816,0.25091,-0.21695,-0.21172,-0.20709,-0.84153,-0.37666,-0.07689,0.10862,0.64981,0.27776,-0.82642,0.05841,-1.46858,-0.0783,-0.16597,0.61671,0.67576,0.0374,0.30851,0.96257
-0.54277,0.29144,-0.13222,-0.12771,-0.27597,-1.06815,-0.32256,-0.07717,0.08624,0.67424,-0.09127,-0.62884,0.06174,-1.37189,-0.10108,-0.14514,0.34551,0.74778,0.09042,0.2889,0.76708
-0.51195,-0.11355,0.07032,-0.12211,-0.23554,-0.72934,-0.28704,-0.08421,-0.02995,0.68663,-0.93888,-0.47098,0.06463,-1.13924,0.06213,-0.13417,0.57463,0.66003,0.09936,0.89083,0.24914
-0.50699,0.74438,-0.41543,-0.11167,0.22777,-0.95199,-0.22996,-0.13764,-0.06149,0.69494,-1.24771,-0.10757,0.0673,-1.38654,-0.01848,-0.10441,0.24392,0.68609,0.105,0.42359,1.02979
-0.5037,0.3071,-0.24207,-0.11083,0.51698,-0.76005,-0.19776,-0.19555,0.0052,0.70009,-0.98807,-0.42712,0.0733,-1.32734,0.01468,-0.10391,0.14513,0.71398,0.10884,0.21669,0.81093
-0.50044,0.65621,-0.35514,-0.08767,0.56903,-0.80018,-0.1661,0.22429,-0.01659,0.71165,0.55832,-0.84432,0.08939,-1.26385,0.01065,-0.1025,0.73316,0.73812,0.15445,0.14075,0.70546
-0.49707,0.15265,-0.19803,-0.03435,-0.61465,-0.03162,-0.14865,0.2031,-0.01713,0.73409,0.56444,-0.84501,0.10945,-1.40277,-0.01583,-0.06367,0.43458,0.84949,0.17047,0.89912,0.58569
-0.49343,0.31852,-0.22612,-0.02779,0.18707,-0.77535,-0.09895,-0.28935,0.04973,0.75236,0.71819,-0.76721,0.13125,-1.3083,-0.03489,-0.05416,0.18947,0.76589,0.1781,0.16975,0.68084
-0.4928,0.23786,-0.25799,-0.02092,0.05702,-0.81112,-0.02123,0.61632,-0.16944,0.77362,-0.15099,-0.12348,0.13531,-1.3781,-0.07889,-0.04201,0.18181,0.8218,0.17834,0.20408,0.99433
-0.47926,0.61346,-0.38915,-0.02005,-0.63094,-0.03515,-0.0062,0.60433,-0.15111,0.8472,-1.05133,-0.39513,0.16507,-1.33819,0.00868,-0.04063,0.54429,0.71099,0.20088,0.34024,0.96073
-0.47687,0.7196,-0.21996,-0.01452,-0.04617,-0.75953,0.00833,0.49556,-0.12895,0.92802,0.15138,-0.81436,0.17079,-1.45181,-0.01997,-0.03275,0.08094,0.69426,0.26209,0.9135,0.69668
-0.46136,0.26013,-0.18255,-0.01161,0.1851,-0.77982,0.01399,0.57035,-0.14898,0.96175,-0.15064,-0.37066,0.18143,-1.40931,-0.00285,-0.02275,0.10774,0.76734,0.28625,0.49776,0.87806
-0.45826,0.30085,-0.22012,0.02141,0.46411,-0.91032,0.01763,0.86701,-0.18956,0.96576,0.11072,-0.87119,0.18238,-1.34749,0.00304,0.02421,0.53971,0.62848,0.29704,0.33483,0.41744
